score
14
17
17
14
18
19
13
17
15
18
14
9
19
19
12
17
20
18
19
17
17
14
18
17
14
13
13
20
18
20
20
17
17
19
19
13
16
14
15
18
14
20
15
18
13
20
20
14
17
20
15
20
14
19
14
15
15
17
17
17
15
17
17
10
18
17
15
11
15
17
17
18
17
14
18
18
14
17
14
18
19
19
17
14
17
13
18
18
19
15
15
18
17
19
14
17
16
19
17
18
20
12
